instance_file,solution_file,number_of_trolleys,number_of_boxes,total_distance
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132418_Z1.txt,..\data\solutions\instance_0130_132418_Z1_sol.txt,4,21,1173.4
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132418_Z2.txt,..\data\solutions\instance_0130_132418_Z2_sol.txt,7,41,2081.9
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132420_Z1.txt,..\data\solutions\instance_0130_132420_Z1_sol.txt,7,40,2133.8
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132420_Z2.txt,..\data\solutions\instance_0130_132420_Z2_sol.txt,7,38,1994.1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132422_Z1.txt,..\data\solutions\instance_0130_132422_Z1_sol.txt,18,103,6162.0
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132422_Z2.txt,..\data\solutions\instance_0130_132422_Z2_sol.txt,17,97,5681.3
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132426_Z1.txt,..\data\solutions\instance_0130_132426_Z1_sol.txt,2,12,697.4
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132426_Z2.txt,..\data\solutions\instance_0130_132426_Z2_sol.txt,3,15,784.7
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132428_Z1.txt,..\data\solutions\instance_0130_132428_Z1_sol.txt,44,262,15317.0
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132428_Z2.txt,..\data\solutions\instance_0130_132428_Z2_sol.txt,40,237,13437.2
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132434_Z1.txt,..\data\solutions\instance_0130_132434_Z1_sol.txt,2,9,724.4
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132434_Z2.txt,..\data\solutions\instance_0130_132434_Z2_sol.txt,-1,-1,-1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132435_Z1.txt,..\data\solutions\instance_0130_132435_Z1_sol.txt,7,40,2166.2
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132435_Z2.txt,..\data\solutions\instance_0130_132435_Z2_sol.txt,6,34,1800.9
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132436_Z1.txt,..\data\solutions\instance_0130_132436_Z1_sol.txt,28,164,9849.1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132436_Z2.txt,..\data\solutions\instance_0130_132436_Z2_sol.txt,29,173,9621.8
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132437_Z1.txt,..\data\solutions\instance_0130_132437_Z1_sol.txt,29,170,10055.6
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132437_Z2.txt,..\data\solutions\instance_0130_132437_Z2_sol.txt,25,145,8103.4
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132438_Z1.txt,..\data\solutions\instance_0130_132438_Z1_sol.txt,30,178,10470.0
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132438_Z2.txt,..\data\solutions\instance_0130_132438_Z2_sol.txt,31,185,10612.8
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132439_Z1.txt,..\data\solutions\instance_0130_132439_Z1_sol.txt,10,56,2716.0
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132439_Z2.txt,..\data\solutions\instance_0130_132439_Z2_sol.txt,9,49,2518.7
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132440_Z1.txt,..\data\solutions\instance_0130_132440_Z1_sol.txt,59,350,20008.8
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132440_Z2.txt,..\data\solutions\instance_0130_132440_Z2_sol.txt,54,323,18282.2
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132452_Z1.txt,..\data\solutions\instance_0130_132452_Z1_sol.txt,2,7,543.5
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132452_Z2.txt,..\data\solutions\instance_0130_132452_Z2_sol.txt,2,10,637.7
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132454_Z1.txt,..\data\solutions\instance_0130_132454_Z1_sol.txt,9,49,2558.1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0130_132454_Z2.txt,..\data\solutions\instance_0130_132454_Z2_sol.txt,18,104,4854.1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132522_Z1.txt,..\data\solutions\instance_0201_132522_Z1_sol.txt,4,23,1432.6
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132522_Z2.txt,..\data\solutions\instance_0201_132522_Z2_sol.txt,4,24,1293.0
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132526_Z1.txt,..\data\solutions\instance_0201_132526_Z1_sol.txt,14,82,4751.6
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132526_Z2.txt,..\data\solutions\instance_0201_132526_Z2_sol.txt,14,83,4374.8
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132530_Z1.txt,..\data\solutions\instance_0201_132530_Z1_sol.txt,2,12,701.9
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132530_Z2.txt,..\data\solutions\instance_0201_132530_Z2_sol.txt,3,18,933.0
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132531_Z1.txt,..\data\solutions\instance_0201_132531_Z1_sol.txt,37,220,12548.2
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132531_Z2.txt,..\data\solutions\instance_0201_132531_Z2_sol.txt,42,252,13450.9
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132536_Z1.txt,..\data\solutions\instance_0201_132536_Z1_sol.txt,1,5,353.2
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132536_Z2.txt,..\data\solutions\instance_0201_132536_Z2_sol.txt,1,6,313.7
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132538_Z1.txt,..\data\solutions\instance_0201_132538_Z1_sol.txt,5,29,1772.3
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132538_Z2.txt,..\data\solutions\instance_0201_132538_Z2_sol.txt,5,30,1523.0
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132540_Z1.txt,..\data\solutions\instance_0201_132540_Z1_sol.txt,26,152,8539.1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132540_Z2.txt,..\data\solutions\instance_0201_132540_Z2_sol.txt,24,143,7689.7
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132543_Z1.txt,..\data\solutions\instance_0201_132543_Z1_sol.txt,23,135,7568.0
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132543_Z2.txt,..\data\solutions\instance_0201_132543_Z2_sol.txt,20,119,6235.9
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132545_Z1.txt,..\data\solutions\instance_0201_132545_Z1_sol.txt,25,150,8059.0
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132545_Z2.txt,..\data\solutions\instance_0201_132545_Z2_sol.txt,26,156,8241.4
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132546_Z1.txt,..\data\solutions\instance_0201_132546_Z1_sol.txt,5,28,1678.4
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132546_Z2.txt,..\data\solutions\instance_0201_132546_Z2_sol.txt,4,24,1266.5
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132547_Z1.txt,..\data\solutions\instance_0201_132547_Z1_sol.txt,46,271,14899.4
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132547_Z2.txt,..\data\solutions\instance_0201_132547_Z2_sol.txt,52,311,16379.5
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132549_Z1.txt,..\data\solutions\instance_0201_132549_Z1_sol.txt,6,32,1618.6
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0201_132549_Z2.txt,..\data\solutions\instance_0201_132549_Z2_sol.txt,10,57,1808.3
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132568_Z1.txt,..\data\solutions\instance_0202_132568_Z1_sol.txt,4,24,1364.2
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132568_Z2.txt,..\data\solutions\instance_0202_132568_Z2_sol.txt,5,25,1327.2
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132573_Z1.txt,..\data\solutions\instance_0202_132573_Z1_sol.txt,16,92,5126.6
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132573_Z2.txt,..\data\solutions\instance_0202_132573_Z2_sol.txt,18,107,5531.3
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132574_Z1.txt,..\data\solutions\instance_0202_132574_Z1_sol.txt,3,14,848.9
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132574_Z2.txt,..\data\solutions\instance_0202_132574_Z2_sol.txt,2,11,586.9
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132575_Z1.txt,..\data\solutions\instance_0202_132575_Z1_sol.txt,44,263,14267.0
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132575_Z2.txt,..\data\solutions\instance_0202_132575_Z2_sol.txt,48,284,14518.2
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132576_Z1.txt,..\data\solutions\instance_0202_132576_Z1_sol.txt,-1,-1,-1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132576_Z2.txt,..\data\solutions\instance_0202_132576_Z2_sol.txt,1,6,321.8
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132577_Z1.txt,..\data\solutions\instance_0202_132577_Z1_sol.txt,-1,-1,-1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132577_Z2.txt,..\data\solutions\instance_0202_132577_Z2_sol.txt,-1,-1,-1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132578_Z1.txt,..\data\solutions\instance_0202_132578_Z1_sol.txt,5,26,1577.1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132578_Z2.txt,..\data\solutions\instance_0202_132578_Z2_sol.txt,5,26,1437.2
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132579_Z1.txt,..\data\solutions\instance_0202_132579_Z1_sol.txt,-1,-1,-1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132579_Z2.txt,..\data\solutions\instance_0202_132579_Z2_sol.txt,-1,-1,-1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132580_Z1.txt,..\data\solutions\instance_0202_132580_Z1_sol.txt,23,137,7773.5
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132580_Z2.txt,..\data\solutions\instance_0202_132580_Z2_sol.txt,19,113,5781.0
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132581_Z1.txt,..\data\solutions\instance_0202_132581_Z1_sol.txt,27,160,8934.3
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132581_Z2.txt,..\data\solutions\instance_0202_132581_Z2_sol.txt,30,180,9153.9
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132582_Z1.txt,..\data\solutions\instance_0202_132582_Z1_sol.txt,5,29,1625.3
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132582_Z2.txt,..\data\solutions\instance_0202_132582_Z2_sol.txt,4,22,1255.9
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132583_Z1.txt,..\data\solutions\instance_0202_132583_Z1_sol.txt,49,292,16282.0
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132583_Z2.txt,..\data\solutions\instance_0202_132583_Z2_sol.txt,44,264,13234.8
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132584_Z1.txt,..\data\solutions\instance_0202_132584_Z1_sol.txt,7,42,1460.7
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132584_Z2.txt,..\data\solutions\instance_0202_132584_Z2_sol.txt,10,59,1478.6
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132597_Z1.txt,..\data\solutions\instance_0202_132597_Z1_sol.txt,7,42,1455.3
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0202_132597_Z2.txt,..\data\solutions\instance_0202_132597_Z2_sol.txt,-1,-1,-1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132600_Z1.txt,..\data\solutions\instance_0203_132600_Z1_sol.txt,4,22,1389.4
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132600_Z2.txt,..\data\solutions\instance_0203_132600_Z2_sol.txt,4,20,1321.4
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132605_Z1.txt,..\data\solutions\instance_0203_132605_Z1_sol.txt,13,73,4162.7
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132605_Z2.txt,..\data\solutions\instance_0203_132605_Z2_sol.txt,12,68,3572.4
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132607_Z1.txt,..\data\solutions\instance_0203_132607_Z1_sol.txt,-1,-1,-1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132607_Z2.txt,..\data\solutions\instance_0203_132607_Z2_sol.txt,1,5,311.9
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132609_Z1.txt,..\data\solutions\instance_0203_132609_Z1_sol.txt,30,179,9780.3
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132609_Z2.txt,..\data\solutions\instance_0203_132609_Z2_sol.txt,29,174,8778.2
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132613_Z1.txt,..\data\solutions\instance_0203_132613_Z1_sol.txt,1,5,336.1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132613_Z2.txt,..\data\solutions\instance_0203_132613_Z2_sol.txt,1,5,339.1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132615_Z1.txt,..\data\solutions\instance_0203_132615_Z1_sol.txt,4,20,1283.5
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132615_Z2.txt,..\data\solutions\instance_0203_132615_Z2_sol.txt,3,17,993.7
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132617_Z1.txt,..\data\solutions\instance_0203_132617_Z1_sol.txt,21,124,6793.5
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0203_132617_Z2.txt,..\data\solutions\instance_0203_132617_Z2_sol.txt,17,99,5227.4
