instance_file,solution_file,number_of_trolleys,number_of_boxes,total_distance
instance_0201_132540_Z1.txt,instance_0201_132540_Z1_sol.txt,26,152,8481.2
instance_0201_132540_Z2.txt,instance_0201_132540_Z2_sol.txt,24,143,7696.9
instance_0201_132543_Z1.txt,instance_0201_132543_Z1_sol.txt,23,135,7482.2
instance_0201_132543_Z2.txt,instance_0201_132543_Z2_sol.txt,20,119,6163.9
instance_0201_132545_Z1.txt,instance_0201_132545_Z1_sol.txt,25,150,8056.3
instance_0201_132545_Z2.txt,instance_0201_132545_Z2_sol.txt,26,156,8291.1
instance_0201_132546_Z1.txt,instance_0201_132546_Z1_sol.txt,5,28,1699.1
instance_0201_132546_Z2.txt,instance_0201_132546_Z2_sol.txt,4,24,1266.5
instance_0201_132547_Z1.txt,instance_0201_132547_Z1_sol.txt,46,271,14875.1
instance_0201_132547_Z2.txt,instance_0201_132547_Z2_sol.txt,52,311,16389.4
instance_0201_132549_Z1.txt,instance_0201_132549_Z1_sol.txt,6,32,1676.5
instance_0201_132549_Z2.txt,instance_0201_132549_Z2_sol.txt,10,57,1904.7
instance_0202_132568_Z1.txt,instance_0202_132568_Z1_sol.txt,4,24,1358.8
instance_0202_132568_Z2.txt,instance_0202_132568_Z2_sol.txt,5,25,1338.6
instance_0202_132573_Z1.txt,instance_0202_132573_Z1_sol.txt,16,92,5107.4
instance_0202_132573_Z2.txt,instance_0202_132573_Z2_sol.txt,18,107,5521.4
instance_0202_132574_Z1.txt,instance_0202_132574_Z1_sol.txt,3,14,840.8
instance_0202_132574_Z2.txt,instance_0202_132574_Z2_sol.txt,2,11,586.9
instance_0202_132575_Z1.txt,instance_0202_132575_Z1_sol.txt,44,263,14243.6
instance_0202_132575_Z2.txt,instance_0202_132575_Z2_sol.txt,48,284,14511.9
instance_0202_132576_Z1.txt,instance_0202_132576_Z1_sol.txt,-1,-1,-1
instance_0202_132576_Z2.txt,instance_0202_132576_Z2_sol.txt,1,6,321.8
instance_0202_132577_Z1.txt,instance_0202_132577_Z1_sol.txt,-1,-1,-1
instance_0202_132577_Z2.txt,instance_0202_132577_Z2_sol.txt,-1,-1,-1
instance_0202_132578_Z1.txt,instance_0202_132578_Z1_sol.txt,5,26,1655.6
instance_0202_132578_Z2.txt,instance_0202_132578_Z2_sol.txt,5,26,1476.2
instance_0202_132579_Z1.txt,instance_0202_132579_Z1_sol.txt,-1,-1,-1
instance_0202_132579_Z2.txt,instance_0202_132579_Z2_sol.txt,-1,-1,-1
instance_0202_132580_Z1.txt,instance_0202_132580_Z1_sol.txt,23,137,7772.6
instance_0202_132580_Z2.txt,instance_0202_132580_Z2_sol.txt,19,113,5778.3
instance_0202_132581_Z1.txt,instance_0202_132581_Z1_sol.txt,27,160,8941.5
instance_0202_132581_Z2.txt,instance_0202_132581_Z2_sol.txt,30,180,9144
instance_0202_132582_Z1.txt,instance_0202_132582_Z1_sol.txt,5,29,1669.1
instance_0202_132582_Z2.txt,instance_0202_132582_Z2_sol.txt,4,22,1257.7
instance_0202_132583_Z1.txt,instance_0202_132583_Z1_sol.txt,49,292,16235.2
instance_0202_132583_Z2.txt,instance_0202_132583_Z2_sol.txt,44,264,13257.3
instance_0202_132584_Z1.txt,instance_0202_132584_Z1_sol.txt,7,42,1548.8
instance_0202_132584_Z2.txt,instance_0202_132584_Z2_sol.txt,10,59,1669.7
instance_0202_132597_Z1.txt,instance_0202_132597_Z1_sol.txt,7,42,1574.2
instance_0202_132597_Z2.txt,instance_0202_132597_Z2_sol.txt,-1,-1,-1
instance_0203_132600_Z1.txt,instance_0203_132600_Z1_sol.txt,4,22,1389.4
instance_0203_132600_Z2.txt,instance_0203_132600_Z2_sol.txt,4,20,1321.4
instance_0203_132605_Z1.txt,instance_0203_132605_Z1_sol.txt,13,73,4158.2
instance_0203_132605_Z2.txt,instance_0203_132605_Z2_sol.txt,12,68,3575.1
instance_0203_132607_Z1.txt,instance_0203_132607_Z1_sol.txt,-1,-1,-1
instance_0203_132607_Z2.txt,instance_0203_132607_Z2_sol.txt,1,5,311.9
instance_0203_132609_Z1.txt,instance_0203_132609_Z1_sol.txt,30,179,9780.3
instance_0203_132609_Z2.txt,instance_0203_132609_Z2_sol.txt,29,174,8774.6
instance_0203_132613_Z1.txt,instance_0203_132613_Z1_sol.txt,1,5,336.1
instance_0203_132613_Z2.txt,instance_0203_132613_Z2_sol.txt,1,5,339.1
instance_0203_132615_Z1.txt,instance_0203_132615_Z1_sol.txt,4,20,1281.7
instance_0203_132615_Z2.txt,instance_0203_132615_Z2_sol.txt,3,17,993.7
instance_0203_132617_Z1.txt,instance_0203_132617_Z1_sol.txt,21,124,6808.8
instance_0203_132617_Z2.txt,instance_0203_132617_Z2_sol.txt,17,99,5227.4
instance_0203_132620_Z1.txt,instance_0203_132620_Z1_sol.txt,14,81,4558.4
instance_0203_132620_Z2.txt,instance_0203_132620_Z2_sol.txt,12,69,3881.2
instance_0203_132621_Z1.txt,instance_0203_132621_Z1_sol.txt,19,111,6238
instance_0203_132621_Z2.txt,instance_0203_132621_Z2_sol.txt,19,112,5713.8
instance_0203_132622_Z1.txt,instance_0203_132622_Z1_sol.txt,5,27,1722.8
instance_0203_132622_Z2.txt,instance_0203_132622_Z2_sol.txt,-1,-1,-1
instance_0203_132623_Z1.txt,instance_0203_132623_Z1_sol.txt,34,202,11047.3
instance_0203_132623_Z2.txt,instance_0203_132623_Z2_sol.txt,30,179,9119.1
instance_0214_132873_Z1.txt,instance_0214_132873_Z1_sol.txt,4,19,1165.4
instance_0214_132873_Z2.txt,instance_0214_132873_Z2_sol.txt,4,22,1123.4
instance_0214_132877_Z1.txt,instance_0214_132877_Z1_sol.txt,11,64,3357.5
instance_0214_132877_Z2.txt,instance_0214_132877_Z2_sol.txt,16,92,4492.4
instance_0214_132879_Z1.txt,instance_0214_132879_Z1_sol.txt,2,10,647
instance_0214_132879_Z2.txt,instance_0214_132879_Z2_sol.txt,-1,-1,-1
instance_0214_132880_Z1.txt,instance_0214_132880_Z1_sol.txt,24,142,7655.1
instance_0214_132880_Z2.txt,instance_0214_132880_Z2_sol.txt,32,187,9505.4
instance_0214_132881_Z1.txt,instance_0214_132881_Z1_sol.txt,2,7,550.7
instance_0214_132881_Z2.txt,instance_0214_132881_Z2_sol.txt,2,10,539.2
instance_0214_132882_Z1.txt,instance_0214_132882_Z1_sol.txt,4,23,1317.1
instance_0214_132882_Z2.txt,instance_0214_132882_Z2_sol.txt,3,16,882.2
instance_0214_132883_Z1.txt,instance_0214_132883_Z1_sol.txt,11,63,3517.4
instance_0214_132883_Z2.txt,instance_0214_132883_Z2_sol.txt,15,86,4461.3
instance_0214_132884_Z1.txt,instance_0214_132884_Z1_sol.txt,13,74,4212.1
instance_0214_132884_Z2.txt,instance_0214_132884_Z2_sol.txt,13,75,3923.9
instance_0214_132885_Z1.txt,instance_0214_132885_Z1_sol.txt,17,98,5446.7
instance_0214_132885_Z2.txt,instance_0214_132885_Z2_sol.txt,21,123,6147.1
instance_0214_132886_Z1.txt,instance_0214_132886_Z1_sol.txt,-1,-1,-1
instance_0214_132886_Z2.txt,instance_0214_132886_Z2_sol.txt,4,19,953
instance_0214_132887_Z1.txt,instance_0214_132887_Z1_sol.txt,29,171,9440.1
instance_0214_132887_Z2.txt,instance_0214_132887_Z2_sol.txt,31,182,9229.1
instance_0214_132888_Z1.txt,instance_0214_132888_Z1_sol.txt,-1,-1,-1
instance_0214_132888_Z2.txt,instance_0214_132888_Z2_sol.txt,-1,-1,-1
instance_0214_132889_Z1.txt,instance_0214_132889_Z1_sol.txt,-1,-1,-1
instance_0214_132889_Z2.txt,instance_0214_132889_Z2_sol.txt,-1,-1,-1
instance_0214_132890_Z1.txt,instance_0214_132890_Z1_sol.txt,9,50,2477.4
instance_0214_132890_Z2.txt,instance_0214_132890_Z2_sol.txt,7,38,1680.8
instance_0215_132908_Z1.txt,instance_0215_132908_Z1_sol.txt,5,28,1709.3
instance_0215_132908_Z2.txt,instance_0215_132908_Z2_sol.txt,7,37,1711.5
instance_0215_132913_Z1.txt,instance_0215_132913_Z1_sol.txt,14,84,4825.1
instance_0215_132913_Z2.txt,instance_0215_132913_Z2_sol.txt,19,112,5653.1
instance_0215_132916_Z1.txt,instance_0215_132916_Z1_sol.txt,2,9,528.3
instance_0215_132916_Z2.txt,instance_0215_132916_Z2_sol.txt,2,9,467.6
instance_0215_132918_Z1.txt,instance_0215_132918_Z1_sol.txt,40,236,13765.6
instance_0215_132918_Z2.txt,instance_0215_132918_Z2_sol.txt,51,304,15310.8
instance_0215_132923_Z1.txt,instance_0215_132923_Z1_sol.txt,2,9,638.9
instance_0215_132923_Z2.txt,instance_0215_132923_Z2_sol.txt,3,14,761.4
instance_0215_132925_Z1.txt,instance_0215_132925_Z1_sol.txt,6,32,1878
instance_0215_132925_Z2.txt,instance_0215_132925_Z2_sol.txt,5,30,1431.7
instance_0215_132928_Z1.txt,instance_0215_132928_Z1_sol.txt,23,135,7823
instance_0215_132928_Z2.txt,instance_0215_132928_Z2_sol.txt,30,177,8662.5
instance_0215_132930_Z1.txt,instance_0215_132930_Z1_sol.txt,20,119,6899.6
instance_0215_132930_Z2.txt,instance_0215_132930_Z2_sol.txt,22,131,6415.2
instance_0215_132931_Z1.txt,instance_0215_132931_Z1_sol.txt,26,155,9002.6
instance_0215_132931_Z2.txt,instance_0215_132931_Z2_sol.txt,33,194,9598.3
instance_0215_132932_Z1.txt,instance_0215_132932_Z1_sol.txt,6,33,1980.8
instance_0215_132932_Z2.txt,instance_0215_132932_Z2_sol.txt,7,38,1744.4
instance_0215_132933_Z1.txt,instance_0215_132933_Z1_sol.txt,49,293,16990.3
instance_0215_132933_Z2.txt,instance_0215_132933_Z2_sol.txt,56,334,16847.8
instance_0215_132946_Z1.txt,instance_0215_132946_Z1_sol.txt,-1,-1,-1
instance_0606_136166_Z1.txt,instance_0606_136166_Z1_sol.txt,-1,-1,-1
instance_0606_136166_Z2.txt,instance_0606_136166_Z2_sol.txt,10,59,2950.1
instance_0606_136170_Z1.txt,instance_0606_136170_Z1_sol.txt,20,119,7743.8
instance_0606_136170_Z2.txt,instance_0606_136170_Z2_sol.txt,26,154,10137.8
instance_0606_136175_Z1.txt,instance_0606_136175_Z1_sol.txt,2,12,842.6
instance_0606_136175_Z2.txt,instance_0606_136175_Z2_sol.txt,-1,-1,-1
instance_0606_136178_Z1.txt,instance_0606_136178_Z1_sol.txt,63,375,25649.1
instance_0606_136178_Z2.txt,instance_0606_136178_Z2_sol.txt,79,473,30792.7
instance_0606_136186_Z1.txt,instance_0606_136186_Z1_sol.txt,4,23,1585.3
instance_0606_136186_Z2.txt,instance_0606_136186_Z2_sol.txt,4,24,1654.6
instance_0606_136187_Z1.txt,instance_0606_136187_Z1_sol.txt,8,46,2873.5
instance_0606_136187_Z2.txt,instance_0606_136187_Z2_sol.txt,8,45,2571.6
